Date, Close/Last, Volume, Open, High, Low
01/13/2020, $48.745, 34474730, $48.66, $48.86, $48.24
01/10/2020, $48.165, 44215590, $49.26, $49.29, $48
01/09/2020, $48.97, 76649640, $48.94, $49.96, $48.39
01/08/2020, $47.83, 53868960, $47.85, $48.3, $47.14
01/07/2020, $48.25, 59935560, $49.35, $49.39, $48.04
01/06/2020, $48.39, 48176290, $48.02, $48.86, $47.86
01/03/2020, $48.6, 73362160, $48.03, $49.39, $47.54
01/02/2020, $49.1, 80764600, $46.86, $49.25, $46.63
12/31/2019, $45.86, 31791200, $45.07, $46.09, $44.9223
12/30/2019, $45.52, 41235740, $46.14, $46.17, $44.66
12/27/2019, $46.18, 36624230, $46.85, $46.88, $45.975
12/26/2019, $46.63, 57712690, $46.99, $47.31, $45.66
12/24/2019, $46.54, 44432190, $46.1, $46.61, $45.77
12/23/2019, $45.46, 56065290, $44.58, $45.625, $44.39
12/20/2019, $44.15, 68216730, $43.44, $44.26, $43.26
12/19/2019, $42.83, 45950710, $42.63, $43.34, $42.6
12/18/2019, $42.3, 39182980, $42.79, $43.06, $42.24
12/17/2019, $42.77, 44935570, $42.51, $43.105, $42.15
12/16/2019, $42.35, 58890780, $41.73, $42.98, $41.73
12/13/2019, $41.15, 79985410, $42.35, $42.95, $41.06
